@RELATION CharacterFilter

@ATTRIBUTE init         string
@ATTRIBUTE alternate    string
@ATTRIBUTE result 	{0, 1}

@DATA
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','j',0
'Mary and Samantha arrived at the bus statjon early but waited until noon for the bus.','i',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','w',0
'Mary and Samantha arrived at the bus statiwn early but waited until noon for the bus.','o',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','p',0
'Mary and Samantha arrived at the bus statipn early but waited until noon for the bus.','o',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','v',0
'Mary and Samantha arrived at the bus statiov early but waited until noon for the bus.','n',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','o',0
'Mary and Samantha arrived at the bus statioo early but waited until noon for the bus.','n',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','0',0
'Mary and Samantha arrived at the bus station0early but waited until noon for the bus.',' ',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','"',0
'Mary and Samantha arrived at the bus station"early but waited until noon for the bus.',' ',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','!',0
'Mary and Samantha arrived at the bus station!early but waited until noon for the bus.',' ',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','u',0
'Mary and Samantha arrived at the bus station uarly but waited until noon for the bus.','e',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','m',0
'Mary and Samantha arrived at the bus station marly but waited until noon for the bus.','e',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','f',0
'Mary and Samantha arrived at the bus station farly but waited until noon for the bus.','e',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','q',0
'Mary and Samantha arrived at the bus station eqrly but waited until noon for the bus.','a',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','i',0
'Mary and Samantha arrived at the bus station eirly but waited until noon for the bus.','a',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','b',0
'Mary and Samantha arrived at the bus station ebrly but waited until noon for the bus.','a',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','s',0
'Mary and Samantha arrived at the bus station easly but waited until noon for the bus.','r',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','t',0
'Mary and Samantha arrived at the bus station earty but waited until noon for the bus.','l',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','m',0
'Mary and Samantha arrived at the bus station earmy but waited until noon for the bus.','l',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','z',0
'Mary and Samantha arrived at the bus station earlz but waited until noon for the bus.','y',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','0',0
'Mary and Samantha arrived at the bus station early0but waited until noon for the bus.',' ',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','"',0
'Mary and Samantha arrived at the bus station early"but waited until noon for the bus.',' ',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','!',0
'Mary and Samantha arrived at the bus station early!but waited until noon for the bus.',' ',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','r',0
'Mary and Samantha arrived at the bus station early rut waited until noon for the bus.','b',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','j',0
'Mary and Samantha arrived at the bus station early jut waited until noon for the bus.','b',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','c',0
'Mary and Samantha arrived at the bus station early cut waited until noon for the bus.','b',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','v',0
'Mary and Samantha arrived at the bus station early bvt waited until noon for the bus.','u',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','u',0
'Mary and Samantha arrived at the bus station early buu waited until noon for the bus.','t',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','0',0
'Mary and Samantha arrived at the bus station early but0waited until noon for the bus.',' ',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','"',0
'Mary and Samantha arrived at the bus station early but"waited until noon for the bus.',' ',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','!',0
'Mary and Samantha arrived at the bus station early but!waited until noon for the bus.',' ',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','x',0
'Mary and Samantha arrived at the bus station early but xaited until noon for the bus.','w',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','q',0
'Mary and Samantha arrived at the bus station early but wqited until noon for the bus.','a',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','i',0
'Mary and Samantha arrived at the bus station early but wiited until noon for the bus.','a',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','b',0
'Mary and Samantha arrived at the bus station early but wbited until noon for the bus.','a',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','q',0
'Mary and Samantha arrived at the bus station early but waqted until noon for the bus.','i',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','j',0
'Mary and Samantha arrived at the bus station early but wajted until noon for the bus.','i',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','u',0
'Mary and Samantha arrived at the bus station early but waiued until noon for the bus.','t',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','u',0
'Mary and Samantha arrived at the bus station early but waitud until noon for the bus.','e',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','m',0
'Mary and Samantha arrived at the bus station early but waitmd until noon for the bus.','e',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','f',0
'Mary and Samantha arrived at the bus station early but waitfd until noon for the bus.','e',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','t',0
'Mary and Samantha arrived at the bus station early but waitet until noon for the bus.','d',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','l',0
'Mary and Samantha arrived at the bus station early but waitel until noon for the bus.','d',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','e',0
'Mary and Samantha arrived at the bus station early but waitee until noon for the bus.','d',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','0',0
'Mary and Samantha arrived at the bus station early but waited0until noon for the bus.',' ',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','"',0
'Mary and Samantha arrived at the bus station early but waited"until noon for the bus.',' ',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','!',0
'Mary and Samantha arrived at the bus station early but waited!until noon for the bus.',' ',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','v',0
'Mary and Samantha arrived at the bus station early but waited vntil noon for the bus.','u',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','v',0
'Mary and Samantha arrived at the bus station early but waited uvtil noon for the bus.','n',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','o',0
'Mary and Samantha arrived at the bus station early but waited uotil noon for the bus.','n',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','u',0
'Mary and Samantha arrived at the bus station early but waited unuil noon for the bus.','t',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','q',0
'Mary and Samantha arrived at the bus station early but waited untql noon for the bus.','i',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','j',0
'Mary and Samantha arrived at the bus station early but waited untjl noon for the bus.','i',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','t',0
'Mary and Samantha arrived at the bus station early but waited untit noon for the bus.','l',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','m',0
'Mary and Samantha arrived at the bus station early but waited untim noon for the bus.','l',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','0',0
'Mary and Samantha arrived at the bus station early but waited until0noon for the bus.',' ',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','"',0
'Mary and Samantha arrived at the bus station early but waited until"noon for the bus.',' ',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','!',0
'Mary and Samantha arrived at the bus station early but waited until!noon for the bus.',' ',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','v',0
'Mary and Samantha arrived at the bus station early but waited until voon for the bus.','n',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','o',0
'Mary and Samantha arrived at the bus station early but waited until ooon for the bus.','n',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','w',0
'Mary and Samantha arrived at the bus station early but waited until nwon for the bus.','o',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','p',0
'Mary and Samantha arrived at the bus station early but waited until npon for the bus.','o',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','w',0
'Mary and Samantha arrived at the bus station early but waited until nown for the bus.','o',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','p',0
'Mary and Samantha arrived at the bus station early but waited until nopn for the bus.','o',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','v',0
'Mary and Samantha arrived at the bus station early but waited until noov for the bus.','n',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','o',0
'Mary and Samantha arrived at the bus station early but waited until nooo for the bus.','n',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','0',0
'Mary and Samantha arrived at the bus station early but waited until noon0for the bus.',' ',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','"',0
'Mary and Samantha arrived at the bus station early but waited until noon"for the bus.',' ',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','!',0
'Mary and Samantha arrived at the bus station early but waited until noon!for the bus.',' ',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','v',0
'Mary and Samantha arrived at the bus station early but waited until noon vor the bus.','f',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','n',0
'Mary and Samantha arrived at the bus station early but waited until noon nor the bus.','f',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','g',0
'Mary and Samantha arrived at the bus station early but waited until noon gor the bus.','f',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','w',0
'Mary and Samantha arrived at the bus station early but waited until noon fwr the bus.','o',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','p',0
'Mary and Samantha arrived at the bus station early but waited until noon fpr the bus.','o',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','s',0
'Mary and Samantha arrived at the bus station early but waited until noon fos the bus.','r',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','0',0
'Mary and Samantha arrived at the bus station early but waited until noon for0the bus.',' ',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','"',0
'Mary and Samantha arrived at the bus station early but waited until noon for"the bus.',' ',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','!',0
'Mary and Samantha arrived at the bus station early but waited until noon for!the bus.',' ',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','u',0
'Mary and Samantha arrived at the bus station early but waited until noon for uhe bus.','t',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','p',0
'Mary and Samantha arrived at the bus station early but waited until noon for tpe bus.','h',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','i',0
'Mary and Samantha arrived at the bus station early but waited until noon for tie bus.','h',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','u',0
'Mary and Samantha arrived at the bus station early but waited until noon for thu bus.','e',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','m',0
'Mary and Samantha arrived at the bus station early but waited until noon for thm bus.','e',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','f',0
'Mary and Samantha arrived at the bus station early but waited until noon for thf bus.','e',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','0',0
'Mary and Samantha arrived at the bus station early but waited until noon for the0bus.',' ',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','"',0
'Mary and Samantha arrived at the bus station early but waited until noon for the"bus.',' ',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','!',0
'Mary and Samantha arrived at the bus station early but waited until noon for the!bus.',' ',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','r',0
'Mary and Samantha arrived at the bus station early but waited until noon for the rus.','b',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','j',0
'Mary and Samantha arrived at the bus station early but waited until noon for the jus.','b',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','c',0
'Mary and Samantha arrived at the bus station early but waited until noon for the cus.','b',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','v',0
'Mary and Samantha arrived at the bus station early but waited until noon for the bvs.','u',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','t',0
'Mary and Samantha arrived at the bus station early but waited until noon for the but.','s',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','6',0
'Mary and Samantha arrived at the bus station early but waited until noon for the bus6','.',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','0',0
'Mary and Samantha arrived at the bus station early but waited until noon for the bus0','.',1
'Mary and Samantha arrived at the bus station early but waited until noon for the bus.','/',0
'Mary and Samantha arrived at the bus station early but waited until noon for the bus/','.',1
'Hot dogs! Hot dogs! Get your hot dogs!','h',0
'hot dogs! Hot dogs! Get your hot dogs!','H',1
'Hot dogs! Hot dogs! Get your hot dogs!','P',0
'Pot dogs! Hot dogs! Get your hot dogs!','H',1
'Hot dogs! Hot dogs! Get your hot dogs!','L',0
'Lot dogs! Hot dogs! Get your hot dogs!','H',1
'Hot dogs! Hot dogs! Get your hot dogs!','I',0
'Iot dogs! Hot dogs! Get your hot dogs!','H',1
'Hot dogs! Hot dogs! Get your hot dogs!','w',0
'Hwt dogs! Hot dogs! Get your hot dogs!','o',1
'Hot dogs! Hot dogs! Get your hot dogs!','p',0
'Hpt dogs! Hot dogs! Get your hot dogs!','o',1
'Hot dogs! Hot dogs! Get your hot dogs!','u',0
'Hou dogs! Hot dogs! Get your hot dogs!','t',1
'Hot dogs! Hot dogs! Get your hot dogs!','0',0
'Hot0dogs! Hot dogs! Get your hot dogs!',' ',1
'Hot dogs! Hot dogs! Get your hot dogs!','"',0
'Hot"dogs! Hot dogs! Get your hot dogs!',' ',1
'Hot dogs! Hot dogs! Get your hot dogs!','!',0
'Hot!dogs! Hot dogs! Get your hot dogs!',' ',1
'Hot dogs! Hot dogs! Get your hot dogs!','t',0
'Hot togs! Hot dogs! Get your hot dogs!','d',1
'Hot dogs! Hot dogs! Get your hot dogs!','l',0
'Hot logs! Hot dogs! Get your hot dogs!','d',1
'Hot dogs! Hot dogs! Get your hot dogs!','e',0
'Hot eogs! Hot dogs! Get your hot dogs!','d',1
'Hot dogs! Hot dogs! Get your hot dogs!','w',0
'Hot dwgs! Hot dogs! Get your hot dogs!','o',1
'Hot dogs! Hot dogs! Get your hot dogs!','p',0
'Hot dpgs! Hot dogs! Get your hot dogs!','o',1
'Hot dogs! Hot dogs! Get your hot dogs!','w',0
'Hot dows! Hot dogs! Get your hot dogs!','g',1
'Hot dogs! Hot dogs! Get your hot dogs!','o',0
'Hot doos! Hot dogs! Get your hot dogs!','g',1
'Hot dogs! Hot dogs! Get your hot dogs!','h',0
'Hot dohs! Hot dogs! Get your hot dogs!','g',1
'Hot dogs! Hot dogs! Get your hot dogs!','t',0
'Hot dogt! Hot dogs! Get your hot dogs!','s',1
'Hot dogs! Hot dogs! Get your hot dogs!','a',0
'Hot dogsa Hot dogs! Get your hot dogs!','!',1
'Hot dogs! Hot dogs! Get your hot dogs!','A',0
'Hot dogsA Hot dogs! Get your hot dogs!','!',1
'Hot dogs! Hot dogs! Get your hot dogs!','1',0
'Hot dogs1 Hot dogs! Get your hot dogs!','!',1
'Hot dogs! Hot dogs! Get your hot dogs!','"',0
'Hot dogs" Hot dogs! Get your hot dogs!','!',1
'Hot dogs! Hot dogs! Get your hot dogs!','0',0
'Hot dogs!0Hot dogs! Get your hot dogs!',' ',1
'Hot dogs! Hot dogs! Get your hot dogs!','"',0
'Hot dogs!"Hot dogs! Get your hot dogs!',' ',1
'Hot dogs! Hot dogs! Get your hot dogs!','!',0
'Hot dogs!!Hot dogs! Get your hot dogs!',' ',1
'Hot dogs! Hot dogs! Get your hot dogs!','h',0
'Hot dogs! hot dogs! Get your hot dogs!','H',1
'Hot dogs! Hot dogs! Get your hot dogs!','P',0
'Hot dogs! Pot dogs! Get your hot dogs!','H',1
'Hot dogs! Hot dogs! Get your hot dogs!','L',0
'Hot dogs! Lot dogs! Get your hot dogs!','H',1
'Hot dogs! Hot dogs! Get your hot dogs!','I',0
'Hot dogs! Iot dogs! Get your hot dogs!','H',1
'Hot dogs! Hot dogs! Get your hot dogs!','w',0
'Hot dogs! Hwt dogs! Get your hot dogs!','o',1
'Hot dogs! Hot dogs! Get your hot dogs!','p',0
'Hot dogs! Hpt dogs! Get your hot dogs!','o',1
'Hot dogs! Hot dogs! Get your hot dogs!','u',0
'Hot dogs! Hou dogs! Get your hot dogs!','t',1
'Hot dogs! Hot dogs! Get your hot dogs!','0',0
'Hot dogs! Hot0dogs! Get your hot dogs!',' ',1
'Hot dogs! Hot dogs! Get your hot dogs!','"',0
'Hot dogs! Hot"dogs! Get your hot dogs!',' ',1
'Hot dogs! Hot dogs! Get your hot dogs!','!',0
'Hot dogs! Hot!dogs! Get your hot dogs!',' ',1
'Hot dogs! Hot dogs! Get your hot dogs!','t',0
'Hot dogs! Hot togs! Get your hot dogs!','d',1
'Hot dogs! Hot dogs! Get your hot dogs!','l',0
'Hot dogs! Hot logs! Get your hot dogs!','d',1
'Hot dogs! Hot dogs! Get your hot dogs!','e',0
'Hot dogs! Hot eogs! Get your hot dogs!','d',1
'Hot dogs! Hot dogs! Get your hot dogs!','w',0
'Hot dogs! Hot dwgs! Get your hot dogs!','o',1
'Hot dogs! Hot dogs! Get your hot dogs!','p',0
'Hot dogs! Hot dpgs! Get your hot dogs!','o',1
'Hot dogs! Hot dogs! Get your hot dogs!','w',0
'Hot dogs! Hot dows! Get your hot dogs!','g',1
'Hot dogs! Hot dogs! Get your hot dogs!','o',0
'Hot dogs! Hot doos! Get your hot dogs!','g',1
'Hot dogs! Hot dogs! Get your hot dogs!','h',0
'Hot dogs! Hot dohs! Get your hot dogs!','g',1
'Hot dogs! Hot dogs! Get your hot dogs!','t',0
'Hot dogs! Hot dogt! Get your hot dogs!','s',1
'Hot dogs! Hot dogs! Get your hot dogs!','a',0
'Hot dogs! Hot dogsa Get your hot dogs!','!',1
'Hot dogs! Hot dogs! Get your hot dogs!','A',0
'Hot dogs! Hot dogsA Get your hot dogs!','!',1
'Hot dogs! Hot dogs! Get your hot dogs!','1',0
'Hot dogs! Hot dogs1 Get your hot dogs!','!',1
'Hot dogs! Hot dogs! Get your hot dogs!','"',0
'Hot dogs! Hot dogs" Get your hot dogs!','!',1
'Hot dogs! Hot dogs! Get your hot dogs!','0',0
'Hot dogs! Hot dogs!0Get your hot dogs!',' ',1
'Hot dogs! Hot dogs! Get your hot dogs!','"',0
'Hot dogs! Hot dogs!"Get your hot dogs!',' ',1
'Hot dogs! Hot dogs! Get your hot dogs!','!',0
'Hot dogs! Hot dogs!!Get your hot dogs!',' ',1
'Hot dogs! Hot dogs! Get your hot dogs!','W',0
'Hot dogs! Hot dogs! Wet your hot dogs!','G',1
'Hot dogs! Hot dogs! Get your hot dogs!','O',0
'Hot dogs! Hot dogs! Oet your hot dogs!','G',1
'Hot dogs! Hot dogs! Get your hot dogs!','K',0
'Hot dogs! Hot dogs! Ket your hot dogs!','G',1
'Hot dogs! Hot dogs! Get your hot dogs!','H',0
'Hot dogs! Hot dogs! Het your hot dogs!','G',1
'Hot dogs! Hot dogs! Get your hot dogs!','u',0
'Hot dogs! Hot dogs! Gut your hot dogs!','e',1
'Hot dogs! Hot dogs! Get your hot dogs!','m',0
'Hot dogs! Hot dogs! Gmt your hot dogs!','e',1
'Hot dogs! Hot dogs! Get your hot dogs!','f',0
'Hot dogs! Hot dogs! Gft your hot dogs!','e',1
'Hot dogs! Hot dogs! Get your hot dogs!','u',0
'Hot dogs! Hot dogs! Geu your hot dogs!','t',1
'Hot dogs! Hot dogs! Get your hot dogs!','0',0
'Hot dogs! Hot dogs! Get0your hot dogs!',' ',1
'Hot dogs! Hot dogs! Get your hot dogs!','"',0
'Hot dogs! Hot dogs! Get"your hot dogs!',' ',1
'Hot dogs! Hot dogs! Get your hot dogs!','!',0
'Hot dogs! Hot dogs! Get!your hot dogs!',' ',1
'Hot dogs! Hot dogs! Get your hot dogs!','z',0
'Hot dogs! Hot dogs! Get zour hot dogs!','y',1
'Hot dogs! Hot dogs! Get your hot dogs!','w',0
'Hot dogs! Hot dogs! Get ywur hot dogs!','o',1
'Hot dogs! Hot dogs! Get your hot dogs!','p',0
'Hot dogs! Hot dogs! Get ypur hot dogs!','o',1
'Hot dogs! Hot dogs! Get your hot dogs!','v',0
'Hot dogs! Hot dogs! Get yovr hot dogs!','u',1
'Hot dogs! Hot dogs! Get your hot dogs!','s',0
'Hot dogs! Hot dogs! Get yous hot dogs!','r',1
'Hot dogs! Hot dogs! Get your hot dogs!','0',0
'Hot dogs! Hot dogs! Get your0hot dogs!',' ',1
'Hot dogs! Hot dogs! Get your hot dogs!','"',0
'Hot dogs! Hot dogs! Get your"hot dogs!',' ',1
'Hot dogs! Hot dogs! Get your hot dogs!','!',0
'Hot dogs! Hot dogs! Get your!hot dogs!',' ',1
'Hot dogs! Hot dogs! Get your hot dogs!','p',0
'Hot dogs! Hot dogs! Get your pot dogs!','h',1
'Hot dogs! Hot dogs! Get your hot dogs!','i',0
'Hot dogs! Hot dogs! Get your iot dogs!','h',1
'Hot dogs! Hot dogs! Get your hot dogs!','w',0
'Hot dogs! Hot dogs! Get your hwt dogs!','o',1
'Hot dogs! Hot dogs! Get your hot dogs!','p',0
'Hot dogs! Hot dogs! Get your hpt dogs!','o',1
'Hot dogs! Hot dogs! Get your hot dogs!','u',0
'Hot dogs! Hot dogs! Get your hou dogs!','t',1
'Hot dogs! Hot dogs! Get your hot dogs!','0',0
'Hot dogs! Hot dogs! Get your hot0dogs!',' ',1
'Hot dogs! Hot dogs! Get your hot dogs!','"',0
'Hot dogs! Hot dogs! Get your hot"dogs!',' ',1
'Hot dogs! Hot dogs! Get your hot dogs!','!',0
'Hot dogs! Hot dogs! Get your hot!dogs!',' ',1
'Hot dogs! Hot dogs! Get your hot dogs!','t',0
'Hot dogs! Hot dogs! Get your hot togs!','d',1
'Hot dogs! Hot dogs! Get your hot dogs!','l',0
'Hot dogs! Hot dogs! Get your hot logs!','d',1
'Hot dogs! Hot dogs! Get your hot dogs!','e',0
'Hot dogs! Hot dogs! Get your hot eogs!','d',1
'Hot dogs! Hot dogs! Get your hot dogs!','w',0
'Hot dogs! Hot dogs! Get your hot dwgs!','o',1
'Hot dogs! Hot dogs! Get your hot dogs!','p',0
'Hot dogs! Hot dogs! Get your hot dpgs!','o',1
'Hot dogs! Hot dogs! Get your hot dogs!','w',0
'Hot dogs! Hot dogs! Get your hot dows!','g',1
'Hot dogs! Hot dogs! Get your hot dogs!','o',0
'Hot dogs! Hot dogs! Get your hot doos!','g',1
'Hot dogs! Hot dogs! Get your hot dogs!','h',0
'Hot dogs! Hot dogs! Get your hot dohs!','g',1
'Hot dogs! Hot dogs! Get your hot dogs!','t',0
'Hot dogs! Hot dogs! Get your hot dogt!','s',1
'Hot dogs! Hot dogs! Get your hot dogs!','a',0
'Hot dogs! Hot dogs! Get your hot dogsa','!',1
'Hot dogs! Hot dogs! Get your hot dogs!','A',0
'Hot dogs! Hot dogs! Get your hot dogsA','!',1
'Hot dogs! Hot dogs! Get your hot dogs!','1',0
'Hot dogs! Hot dogs! Get your hot dogs1','!',1
'Hot dogs! Hot dogs! Get your hot dogs!','"',0
'Hot dogs! Hot dogs! Get your hot dogs"','!',1
'Fox News Fires a Key Player in Its Election Night Coverage','V',0
'Vox News Fires a Key Player in Its Election Night Coverage','F',1
'Fox News Fires a Key Player in Its Election Night Coverage','N',0
'Nox News Fires a Key Player in Its Election Night Coverage','F',1
'Fox News Fires a Key Player in Its Election Night Coverage','J',0
'Jox News Fires a Key Player in Its Election Night Coverage','F',1
'Fox News Fires a Key Player in Its Election Night Coverage','G',0
'Gox News Fires a Key Player in Its Election Night Coverage','F',1
'Fox News Fires a Key Player in Its Election Night Coverage','w',0
'Fwx News Fires a Key Player in Its Election Night Coverage','o',1
'Fox News Fires a Key Player in Its Election Night Coverage','p',0
'Fpx News Fires a Key Player in Its Election Night Coverage','o',1
'Fox News Fires a Key Player in Its Election Night Coverage','y',0
'Foy News Fires a Key Player in Its Election Night Coverage','x',1
'Fox News Fires a Key Player in Its Election Night Coverage','0',0
'Fox0News Fires a Key Player in Its Election Night Coverage',' ',1
'Fox News Fires a Key Player in Its Election Night Coverage','"',0
'Fox"News Fires a Key Player in Its Election Night Coverage',' ',1
'Fox News Fires a Key Player in Its Election Night Coverage','!',0
'Fox!News Fires a Key Player in Its Election Night Coverage',' ',1
'Fox News Fires a Key Player in Its Election Night Coverage','V',0
'Fox Vews Fires a Key Player in Its Election Night Coverage','N',1
'Fox News Fires a Key Player in Its Election Night Coverage','R',0
'Fox Rews Fires a Key Player in Its Election Night Coverage','N',1
'Fox News Fires a Key Player in Its Election Night Coverage','O',0
'Fox Oews Fires a Key Player in Its Election Night Coverage','N',1
'Fox News Fires a Key Player in Its Election Night Coverage','u',0
'Fox Nuws Fires a Key Player in Its Election Night Coverage','e',1
'Fox News Fires a Key Player in Its Election Night Coverage','m',0
'Fox Nmws Fires a Key Player in Its Election Night Coverage','e',1
'Fox News Fires a Key Player in Its Election Night Coverage','f',0
'Fox Nfws Fires a Key Player in Its Election Night Coverage','e',1
'Fox News Fires a Key Player in Its Election Night Coverage','x',0
'Fox Nexs Fires a Key Player in Its Election Night Coverage','w',1
'Fox News Fires a Key Player in Its Election Night Coverage','t',0
'Fox Newt Fires a Key Player in Its Election Night Coverage','s',1
'Fox News Fires a Key Player in Its Election Night Coverage','0',0
'Fox News0Fires a Key Player in Its Election Night Coverage',' ',1
'Fox News Fires a Key Player in Its Election Night Coverage','"',0
'Fox News"Fires a Key Player in Its Election Night Coverage',' ',1
'Fox News Fires a Key Player in Its Election Night Coverage','!',0
'Fox News!Fires a Key Player in Its Election Night Coverage',' ',1
'Fox News Fires a Key Player in Its Election Night Coverage','V',0
'Fox News Vires a Key Player in Its Election Night Coverage','F',1
'Fox News Fires a Key Player in Its Election Night Coverage','N',0
'Fox News Nires a Key Player in Its Election Night Coverage','F',1
'Fox News Fires a Key Player in Its Election Night Coverage','J',0
'Fox News Jires a Key Player in Its Election Night Coverage','F',1
'Fox News Fires a Key Player in Its Election Night Coverage','G',0
'Fox News Gires a Key Player in Its Election Night Coverage','F',1
'Fox News Fires a Key Player in Its Election Night Coverage','q',0
'Fox News Fqres a Key Player in Its Election Night Coverage','i',1
'Fox News Fires a Key Player in Its Election Night Coverage','j',0
'Fox News Fjres a Key Player in Its Election Night Coverage','i',1
'Fox News Fires a Key Player in Its Election Night Coverage','s',0
'Fox News Fises a Key Player in Its Election Night Coverage','r',1
'Fox News Fires a Key Player in Its Election Night Coverage','u',0
'Fox News Firus a Key Player in Its Election Night Coverage','e',1
'Fox News Fires a Key Player in Its Election Night Coverage','m',0
'Fox News Firms a Key Player in Its Election Night Coverage','e',1
'Fox News Fires a Key Player in Its Election Night Coverage','f',0
'Fox News Firfs a Key Player in Its Election Night Coverage','e',1
'Fox News Fires a Key Player in Its Election Night Coverage','t',0
'Fox News Firet a Key Player in Its Election Night Coverage','s',1
'Fox News Fires a Key Player in Its Election Night Coverage','0',0
'Fox News Fires0a Key Player in Its Election Night Coverage',' ',1
'Fox News Fires a Key Player in Its Election Night Coverage','"',0
'Fox News Fires"a Key Player in Its Election Night Coverage',' ',1
'Fox News Fires a Key Player in Its Election Night Coverage','!',0
'Fox News Fires!a Key Player in Its Election Night Coverage',' ',1
